galaxy,w50_cdm,w20_cdm,w10_cdm,w50_sidm,w20_sidm,w10_sidm,dW_cdm,dW_sidm
431_x,145.59999999999985,179.19999999999982,179.19999999999982,123.19999999999987,145.59999999999985,156.79999999999984,0.23076923076923078,0.18181818181818182
431_y,134.39999999999986,156.79999999999984,179.19999999999982,100.7999999999999,134.39999999999986,156.79999999999984,0.16666666666666666,0.3333333333333333
431_z,145.59999999999985,-1,-1,67.19999999999993,123.19999999999987,-1,-1,0.8333333333333334
442_x,78.39999999999992,123.19999999999987,145.59999999999985,-1,-1,-1,0.5714285714285714,-1
442_y,78.39999999999992,123.19999999999987,145.59999999999985,-1,-1,-1,0.5714285714285714,-1
442_z,78.39999999999992,123.19999999999987,145.59999999999985,-1,-1,-1,0.5714285714285714,-1
468_x,67.19999999999993,134.39999999999986,167.99999999999983,-1,-1,-1,1.0,-1
468_y,78.39999999999992,134.39999999999986,156.79999999999984,-1,-1,-1,0.7142857142857143,-1
468_z,78.39999999999992,123.19999999999987,156.79999999999984,-1,-1,-1,0.5714285714285714,-1
492_x,156.79999999999984,190.3999999999998,201.5999999999998,134.39999999999986,179.19999999999982,179.19999999999982,0.21428571428571427,0.3333333333333333
492_y,78.39999999999992,123.19999999999987,145.59999999999985,78.39999999999992,123.19999999999987,145.59999999999985,0.5714285714285714,0.5714285714285714
492_z,55.99999999999994,-1,-1,55.99999999999994,-1,-1,-1,-1
502_x,89.59999999999991,145.59999999999985,167.99999999999983,-1,-1,-1,0.625,-1
502_y,67.19999999999993,134.39999999999986,156.79999999999984,-1,-1,-1,1.0,-1
502_z,89.59999999999991,134.39999999999986,167.99999999999983,-1,-1,-1,0.5,-1
515_x,100.7999999999999,179.19999999999982,190.3999999999998,-1,-1,-1,0.7777777777777778,-1
515_y,33.599999999999966,67.19999999999993,89.59999999999991,-1,-1,-1,1.0,-1
515_z,111.99999999999989,-1,-1,-1,-1,-1,-1,-1
523_x,89.59999999999991,123.19999999999987,123.19999999999987,-1,-1,-1,0.375,-1
523_y,78.39999999999992,100.7999999999999,111.99999999999989,-1,-1,-1,0.2857142857142857,-1
523_z,78.39999999999992,100.7999999999999,111.99999999999989,-1,-1,-1,0.2857142857142857,-1
556_x,89.59999999999991,134.39999999999986,145.59999999999985,-1,-1,-1,0.5,-1
556_y,78.39999999999992,156.79999999999984,179.19999999999982,-1,-1,-1,1.0,-1
556_z,-1,-1,-1,-1,-1,-1,-1,-1
568_x,67.19999999999993,-1,-1,-1,-1,-1,-1,-1
568_y,111.99999999999989,145.59999999999985,167.99999999999983,-1,-1,-1,0.3,-1
568_z,100.7999999999999,-1,-1,-1,-1,-1,-1,-1
569_x,-1,-1,-1,-1,-1,-1,-1,-1
569_y,67.19999999999993,89.59999999999991,100.7999999999999,-1,-1,-1,0.3333333333333333,-1
569_z,89.59999999999991,-1,-1,-1,-1,-1,-1,-1
571_x,44.799999999999955,55.99999999999994,67.19999999999993,-1,-1,-1,0.25,-1
571_y,156.79999999999984,179.19999999999982,190.3999999999998,-1,-1,-1,0.14285714285714285,-1
571_z,167.99999999999983,190.3999999999998,190.3999999999998,-1,-1,-1,0.13333333333333333,-1
597_x,55.99999999999994,89.59999999999991,100.7999999999999,-1,-1,-1,0.6,-1
597_y,111.99999999999989,134.39999999999986,156.79999999999984,-1,-1,-1,0.2,-1
597_z,89.59999999999991,134.39999999999986,156.79999999999984,-1,-1,-1,0.5,-1
613_x,100.7999999999999,-1,-1,-1,-1,-1,-1,-1
613_y,100.7999999999999,123.19999999999987,134.39999999999986,-1,-1,-1,0.2222222222222222,-1
613_z,134.39999999999986,134.39999999999986,-1,-1,-1,-1,0.0,-1
615_x,145.59999999999985,201.5999999999998,223.99999999999977,-1,-1,-1,0.38461538461538464,-1
615_y,111.99999999999989,201.5999999999998,223.99999999999977,-1,-1,-1,0.8,-1
615_z,145.59999999999985,291.1999999999997,313.5999999999997,-1,-1,-1,1.0,-1
618_x,67.19999999999993,134.39999999999986,145.59999999999985,-1,-1,-1,1.0,-1
618_y,55.99999999999994,89.59999999999991,111.99999999999989,-1,-1,-1,0.6,-1
618_z,55.99999999999994,-1,-1,-1,-1,-1,-1,-1
634_x,100.7999999999999,123.19999999999987,145.59999999999985,-1,-1,-1,0.2222222222222222,-1
634_y,89.59999999999991,145.59999999999985,156.79999999999984,-1,-1,-1,0.625,-1
634_z,134.39999999999986,156.79999999999984,167.99999999999983,-1,-1,-1,0.16666666666666666,-1
